wavelength(nm)	 TX(1-1)	 Angle(1-1)	wavelength(nm).1	TX(1-2)	 Angle(1-2)	TX(1-3)	 Angle(1-3)	 TX(1-4)	 Angle(1-4)	TX(1-5)	 Angle(1-5)	 TX(1-6)	 Angle(1-6)	TX(1-7)	 Angle(1-7)	  TX(1-8)	 Angle(1-8)
1568.83	0.000871637	304.976															
1568.73	0.000708889	306.061															
1568.63	0.000573957	307.145															
1568.52	0.000462539	308.229															
1568.42	0.000370925	309.314															
1568.32	0.00029593	310.398															
1568.22	0.000234825	311.482															
1568.11	0.00018528	312.567															
1568.01	0.000145317	313.651															
1567.91	0.000113257	314.735															
1567.81	8.76842e-05	315.819															
1567.71	6.74098e-05	316.904															
1567.6	5.1439e-05	317.988															
1567.5	3.89436e-05	319.072															
1567.4	2.92377e-05	320.157															
1567.3	2.17562e-05	321.241															
1567.19	1.60363e-05	322.325															
1567.09	1.17012e-05	323.41															
1566.99	8.44612e-06	324.494															
1566.89	6.02623e-06	325.578															
1566.78	4.24643e-06	326.663															
1566.68	2.95239e-06	327.747															
1566.58	2.02318e-06	328.831															
1566.48	1.36483e-06	329.915															
1566.38	9.05159e-07	331.0															
1566.27	5.89255e-07	332.084															
1566.17	3.75885e-07	333.168															
1566.07	2.34483e-07	334.252															
1565.97	1.42714e-07	335.336															
1565.86	8.45201e-08	336.421															
1565.76	4.85538e-08	337.505															
1565.66	2.69553e-08	338.589															
1565.56	1.43979e-08	339.673															
1565.46	7.35989e-09	340.757															
1565.35	3.57702e-09	341.841															
1565.25	1.6396e-09	342.925															
1565.15	7.0161e-10	344.009															
1565.05	2.76633e-10	345.093															
1564.95	2.44329e-10	346.005															
1564.84	4.46185e-10	346.769															
1564.74	7.86567e-10	347.533															
1564.64	1.34358e-09	348.297															
1564.54	2.23079e-09	349.061															
1564.44	3.60983e-09	349.824															
1564.33	5.70612e-09	350.587															
1564.23	8.82837e-09	351.351															
1564.13	1.33923e-08	352.114															
1564.03	1.99493e-08	352.877															
1563.93	2.92202e-08	353.64															
1563.82	4.21354e-08	354.403															
1563.72	5.98819e-08	355.167															
1563.62	8.39584e-08	355.93															
1563.52	1.16239e-07	356.694															
1563.42	1.59052e-07	357.459															
1563.31	2.15264e-07	358.224															
1563.21	2.88392e-07	358.989															
1563.11	3.82732e-07	359.755															
1563.01	5.03511e-07	360.521															
1562.91	6.57081e-07	361.289															
1562.81	8.51152e-07	362.056															
1562.7	1.09508e-06	362.825															
1562.6	1.40021e-06	363.594															
1562.5	1.78034e-06	364.363															
1562.4	2.25219e-06	365.133															
1562.3	2.8361e-06	365.904															
1562.19	3.55678e-06	366.675															
1562.09	4.4442e-06	367.446															
1561.99	5.53469e-06	368.218															
1561.89	6.87221e-06	368.989															
1561.79	8.50973e-06	369.76															
1561.69	1.05109e-05	370.531															
1561.59	1.29517e-05	371.301															
1561.48	1.59226e-05	372.071															
1561.38	1.95303e-05	372.84															
1561.28	2.38998e-05	373.608															
1561.18	2.91763e-05	374.375															
1561.08	3.55267e-05	375.141															
1560.98	4.31412e-05	375.905															
1560.87	5.22335e-05	376.669															
1560.77	6.30406e-05	377.431															
1560.67	7.58218e-05	378.191															
1560.57	9.08555e-05	378.95															
1560.47	0.000108436	379.708															
1560.37	0.000128865	380.464															
1560.27	0.00015245	381.22															
1560.16	0.000179487	381.974															
1560.06	0.000210256	382.727															
1559.96	0.00025047	383.607															
1559.86	0.000307458	384.691															
1559.76	0.000375512	385.775															
1559.66	0.000456429	386.859															
1559.56	0.000552238	387.944															
1559.45	0.000665232	389.028															
1559.35	0.000797991	390.112															
1559.25	0.000953404	391.196															
1559.15	0.00113471	392.28															
1559.05	0.00134553	393.364															
1558.95	0.00158987	394.449															
1558.85	0.00187222	395.533															
1558.75	0.00219754	396.617															
1558.64	0.0025713	397.701															
1558.54	0.00299958	398.785															
1558.44	0.00348906	399.87															
1558.34	0.00404708	400.954															
1558.24	0.00468174	402.038															
1558.14	0.00540189	403.122															
1558.04	0.00621724	404.206															
1557.94	0.0071384	405.29															
1557.83	0.00817697	406.375															
1557.73	0.00934558	407.459															
1557.63	0.010658	408.543															
1557.53	0.0121292	409.627															
1557.43	0.0137754	410.711															
1557.33	0.0156143	411.796															
1557.23	0.0176651	412.88															
1557.13	0.0199483	413.964															
1557.03	0.0224865	415.048															
1556.93	0.0253038	416.132															
1556.82	0.0284263	417.216															
1556.72	0.0318822	418.301															
1556.62	0.0357018	419.385															
1556.52	0.0399178	420.469															
1556.42	0.0445653	421.553															
1556.32	0.049682	422.637															
1556.22	0.0553084	423.721															
1556.12	0.061488	424.806															
1556.02	0.0682673	425.89															
1555.92	0.0756963	426.974															
1555.81	0.0838283	428.058															
1555.71	0.0927204	429.142															
1555.61	0.102434	430.226															
1555.51	0.113033	431.31															
1555.41	0.124589	432.395															
1555.31	0.137174	433.479															
1555.21	0.150869	434.563															
1555.11	0.165757	435.647															
1555.01	0.181927	436.731															
1554.91	0.191547	437.815															
1554.81	0.200776	438.899															
1554.71	0.210293	439.983															
1554.61	0.2201	441.067															
1554.5	0.2302	442.151															
1554.4	0.240595	443.236															
1554.3	0.251286	444.32															
1554.2	0.262275	445.404															
1554.1	0.273563	446.488															
1554.0	0.285152	447.572															
1553.9	0.297043	448.656															
1553.8	0.309235	449.74															
1553.7	0.32173	450.824															
1553.6	0.334527	451.908															
1553.5	0.347627	452.992															
1553.4	0.361029	454.076															
1553.3	0.374732	455.16															
1553.2	0.388736	456.245															
1553.1	0.40304	457.329															
1553.0	0.417642	458.413															
1552.9	0.432539	459.497															
1552.8	0.447732	460.581															
1552.69	0.463216	461.665															
1552.59	0.478989	462.749															
1552.49	0.495049	463.833															
1552.39	0.511393	464.917															
1552.29	0.528016	466.001															
1552.19	0.544915	467.085															
1552.09	0.562085	468.169															
1551.99	0.579523	469.254															
1551.89	0.597223	470.338															
1551.79	0.61518	471.422															
1551.69	0.633389	472.506															
1551.59	0.651844	473.59															
1551.49	0.670538	474.674															
1551.39	0.689464	475.758															
1551.29	0.708617	476.842															
1551.19	0.727988	477.926															
1551.09	0.74757	479.01															
1550.99	0.767355	480.095															
1550.89	0.787333	481.179															
